1,转场,,,,,,,,,,,,,,,,,,,
2,对话,？？,『 我只有七块钱。』,,,,,,,,,,,,,,,,,
3,旁白,,与我无关。,,,,,,,,,,,,,,,,,
4,旁白,,我这么想着，坐在老位置上要了杯冰美式，打开自己的电脑准备开始瞎说一气。,,,,,,,,,,,,,,,,,
5,旁白,,扭头向窗外看去，一片浓绿，街道上的树足有三位壮汉的总腰围那么粗。,,,,,,,,,,,,,,,,,
6,旁白,,宽大的树叶投下的阴翳交织着刺眼的日光，三三两两地洒落在快要融化的道路上。,,,,,,,,,,,,,,,,,
7,旁白,,又是炎夏，即使透过玻璃窗还是能感到灼人的热，我猜想窗外那排树此刻一定因为知了聒噪得要命。,,,,,,,,,,,,,,,,,
8,旁白,,我皱了皱眉，扯了扯自己的衬衫外套，反而因空调温度太低打了个寒颤。,,,,,,,,,,,,,,,,,
9,旁白,,回头看向桌角，那孩子竟还在。,,,,,,,,,,,,,,,,,
10,对话,,『 你怎么还在这？』,,,,,,,,,,,,,,,,,
11,对话,？？,『......我只有七块钱。』,,,,,,,,,,,,,,,,,
12,旁白,,“与我何干？”我差一点脱口而出。但看对方是个孩子便把话吞了回去。,,,,,,,,,,,,,,,,,
13,旁白,,......,,,,,,,,,,,,,,,,,
14,旁白,,不知为何，觉得这孩子像森林里的鹿。,,,,,,,,,,,,,,,,,
15,旁白,,我敲了敲脑袋，让自己别在这时候有这些说出去傻透了的想法。,,,,,,,,,,,,,,,,,
16,旁白,,但因为鹿的缘故，对那孩子的态度还是柔和了些。,,,,,,,,,,,,,,,,,
17,对话,,『 所以，你想要点吃的？』,,,,,,,,,,,,,,,,,
18,对话,？？,『 嗯嗯！』,,,,,,,,,,,,,,,,,
19,对话,,『 ……好吧，吃点什么？』,,,,,,,,,,,,,,,,,
20,转场,,一刻钟后——,,,,,,,,,,,,,,,,,
21,旁白,,看着餐桌对面那孩子吃的满嘴面包残渣和果酱吸溜柠檬气泡水的滑稽样子，我暗自忍住嘴角的笑。,,,,,,,,,,,,,,,,,
22,对话,,『 怎么自己一个人？』,,,,,,,,,,,,,,,,,
23,对话,,『 你的父母呢？』,,,,,,,,,,,,,,,,,
24,旁白,,...... 她继续吸溜气泡水，一言不发。,,,,,,,,,,,,,,,,,
25,对话,,『 走丢了？』,,,,,,,,,,,,,,,,,
26,对话,,『 家在哪？』,,,,,,,,,,,,,,,,,
27,对话,,『 有联系方式吗？』,,,,,,,,,,,,,,,,,
28,旁白,,连着四个问题如同抛进玻璃杯里的气泡水被女孩的吸管吸走了一般，没有回答，杯子倒是见空了。,,,,,,,,,,,,,,,,,
29,旁白,,尝试交流失败，算了，我倒是对这女孩没有过分的兴趣，刚刚已是浪费口舌。,,,,,,,,,,,,,,,,,
30,旁白,,于是把目光又转回自己的电脑上，干点正经事儿吧。,,,,,,,,,,,,,,,,,
31,旁白,,新的诗歌也正写到这样的夏日，只不过卡住了。,,,,,,,,,,,,,,,,,
32,旁白,,诗歌这种东西，如果不是自然地从，心底里流淌出来，就会生涩难读，砌墙一样。,,,,,,,,,,,,,,,,,
33,旁白,,算了，好在还有两篇存稿可以发，最近倒也不急。,,,,,,,,,,,,,,,,,
34,转场,,存稿就是为了现在这样没灵感的时刻。,,,,,,,,,,,,,,,,,
35,旁白,,我是沈默，笔名随心情变化。,,,,,,,,,,,,,,,,,
36,旁白,,我和几位同好一起经营着自媒体的账号，主要更新诗歌、小说、书评及各类文学相关的内容。,,,,,,,,,,,,,,,,,
37,旁白,,这一类内容相对其他领域，赚到的钱很少，好在我们有一些读者，所以暂且还能靠这个吃饱饭。,,,,,,,,,,,,,,,,,
38,旁白,,她开始哼歌了，看来食物味道很对胃口。,,,,,,,,,,,,,,,,,
39,旁白,,吃饱了应该就会走了吧，可能是走散了饿得不行。,,,,,,,,,,,,,,,,,
40,旁白,,看着电脑屏幕，我重新开始神游。我的住所有些偏僻，不过地价便宜，安静，倒也适合我。,,,,,,,,,,,,,,,,,
41,旁白,,说是家，不过两间干净到让人觉得冷清的房间，一个很小的院子罢了。,,,,,,,,,,,,,,,,,
42,旁白,,因为物欲低，过着一种不自觉的极简的生活，所以家里的东西很少，除必需品和书以外就没什么。,,,,,,,,,,,,,,,,,
43,旁白,,按照同好杏子的说法，“是沉默的灰白色的”。,,,,,,,,,,,,,,,,,
44,旁白,,偶尔会有流浪猫拜访，就找一些食物随意给它们吃吃。,,,,,,,,,,,,,,,,,
45,旁白,,到了黄昏的时候走路回家，煮些米饭蔬菜当晚餐，心情不错的话搬出那把被虫蛀了的木质摇椅看星星，听音乐，睡觉。,,,,,,,,,,,,,,,,,
46,转场,,写不下去诗，干脆打开最近的日程，构思了一下小说的大纲。把存稿发给杏子。,,,,,,,,,,,,,,,,,
47,旁白,,看了看表，揉了揉眼眶，看到窗外的日光已变成了暧昧的雾似的黄色，久坐后的疲倦才从身体传到意识里。,,,,,,,,,,,,,,,,,
48,旁白,,然后发觉那个小女孩仍在我对面坐着。,,,,,,,,,,,,,,,,,
49,对话,,『已经付过钱了，不用担心。我走了。』,,,,,,,,,,,,,,,,,
50,对话,？？,『别走！』,,,,,,,,,,,,,,,,,
51,对话,？？,『我没有地方去。』,,,,,,,,,,,,,,,,,
52,对话,？？,『爸爸妈妈在家里一直吵架，没有人管我。』,,,,,,,,,,,,,,,,,
53,对话,？？,『现在回去的话，一定会被骂死的。』,,,,,,,,,,,,,,,,,
54,对话,？？,『我会做家务！我可以帮你做事！我也不会吃很多！可不可以…』,,,,,,,,,,,,,,,,,
55,对话,,『不可以』,,,,,,,,,,,,,,,,,
56,旁白,,这女孩来路不明，从未见过，就想跟我回家？目的性未免太强,,,,,,,,,,,,,,,,,
57,旁白,,而且如果真的是父母吵架才自己跑出来的小女孩，我把她带走岂不是会被当成人贩子。,,,,,,,,,,,,,,,,,
58,旁白,,决心不再搭理，我准备离开。,,,,,,,,,,,,,,,,,
59,对话,？？,『别走...』,,,,,,,,,,,,,,,,,
60,旁白,,不能心软。我告诉自己。,,,,,,,,,,,,,,,,,
61,旁白,,她穿的是凉鞋。要不直接跑掉吧？我跑得肯定比她快，她追不上的。跑到家里关上门就可以了。,,,,,,,,,,,,,,,,,
62,旁白,,又看向她，她也在盯着我看，可怜巴巴的。,,,,,,,,,,,,,,,,,
63,旁白,,就说今天黄历上说不宜出门说有原因的！,,,,,,,,,,,,,,,,,
64,旁白,,因在家里写不下去，想着来咖啡店，换换空气或许能找到灵感，结果惹到了这种麻烦。,,,,,,,,,,,,,,,,,
65,对话,,『你几岁了？是自己出门的吗？』,,,,,,,,,,,,,,,,,
66,对话,？？,『没人陪我一起！我15岁了...』,,,,,,,,,,,,,,,,,
67,旁白,,这随意相信他人的样子，实在不像15岁。想不起来了，我15岁的时候，是什么样的？,,,,,,,,,,,,,,,,,
